player,position,team,age,club,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg,npxg,xg_assist,npxg_xg_assist,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Abdulellah Al-Malki,MF,Saudi Arabia,28-065,Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.06,0.00,0.06,0.06,0.06
Abdullah Madu,DF,Saudi Arabia,29-153,Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-197,Al-Ittihad,1995,2,0,35,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.18,0.06,0.24,0.18,0.24
Abolfazl Jalali,DF,IR Iran,24-172,Esteghlal,1998,1,0,19,0.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Achraf Dari,DF,Morocco,23-223,Brest,1999,2,1,124,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Achraf Hakimi,DF,Morocco,24-041,Paris S-G,1998,6,6,541,6.0,0,1,0,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.3,0.5,0.02,0.06,0.08,0.02,0.08
Adrien Rabiot,MF,France,27-256,Juventus,1995,5,4,388,4.3,1,1,1,0,0,0,0,0.23,0.23,0.46,0.23,0.46,1.0,1.0,0.9,1.9,0.23,0.20,0.43,0.23,0.43
Agustín Canobbio,MF,Uruguay,24-075,Atl Paranaense,1998,1,0,11,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ahmad Nourollahi,MF,IR Iran,29-316,Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.04,0.00,0.04,0.04,0.04
Ahmed Alaaeldin,FW,Qatar,29-318,Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Aimen Dahmen,GK,Tunisia,25-321,CS Sfaxien,1997,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Ajdin Hrustic,MF,Australia,26-163,Hellas Verona,1996,3,0,62,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Akram Afif,FW,Qatar,26-027,Al Sadd SC,1996,3,3,270,3.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.02,0.10,0.12,0.02,0.12
Alan Franco,MF,Ecuador,24-116,Talleres,1998,2,1,46,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00
Alejandro Balde,DF,Spain,19-058,Barcelona,2003,4,1,126,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04
Aleksandar Mitrović,FW,Serbia,28-090,Fulham,1994,3,3,262,2.9,2,0,2,0,0,1,0,0.69,0.00,0.69,0.69,0.69,1.6,1.6,0.7,2.4,0.57,0.24,0.81,0.57,0.81
